Order_ID,Status,Status_Date,Updated_By
CA-2017-152156,Pending,2017-11-08 00:00:00,System
CA-2017-152156,Confirmed,2017-11-08 11:00:00,OrderManager
CA-2017-152156,Processing,2017-11-08 18:00:00,WarehouseStaff
CA-2017-152156,Shipped,2017-11-11 00:00:00,ShippingDept
CA-2017-152156,Delivered,2017-11-13 00:00:00,DeliveryService
CA-2017-138688,Pending,2017-06-12 00:00:00,System
CA-2017-138688,Confirmed,2017-06-12 07:00:00,OrderManager
CA-2017-138688,Processing,2017-06-12 18:00:00,WarehouseStaff
CA-2017-138688,Shipped,2017-06-16 00:00:00,ShippingDept
CA-2017-138688,Delivered,2017-06-19 00:00:00,DeliveryService
US-2016-108966,Pending,2016-10-11 00:00:00,System
US-2016-108966,Confirmed,2016-10-11 04:00:00,OrderManager
US-2016-108966,Processing,2016-10-11 21:00:00,WarehouseStaff
US-2016-108966,Shipped,2016-10-18 00:00:00,ShippingDept
US-2016-108966,Delivered,2016-10-23 00:00:00,DeliveryService
CA-2015-115812,Pending,2015-06-09 00:00:00,System
CA-2015-115812,Confirmed,2015-06-09 02:00:00,OrderManager
CA-2015-115812,Processing,2015-06-09 14:00:00,WarehouseStaff
CA-2015-115812,Shipped,2015-06-14 00:00:00,ShippingDept
CA-2015-115812,Delivered,2015-06-16 00:00:00,DeliveryService
CA-2018-114412,Pending,2018-04-15 00:00:00,System
CA-2018-114412,Confirmed,2018-04-15 09:00:00,OrderManager
CA-2018-114412,Processing,2018-04-16 02:00:00,WarehouseStaff
CA-2018-114412,Shipped,2018-04-20 00:00:00,ShippingDept
CA-2018-114412,Delivered,2018-04-24 00:00:00,DeliveryService
CA-2017-161389,Pending,2017-12-05 00:00:00,System
CA-2017-161389,Confirmed,2017-12-05 04:00:00,OrderManager
CA-2017-161389,Processing,2017-12-05 15:00:00,WarehouseStaff
CA-2017-161389,Shipped,2017-12-10 00:00:00,ShippingDept
CA-2017-161389,Delivered,2017-12-15 00:00:00,DeliveryService
US-2016-118983,Pending,2016-11-22 00:00:00,System
US-2016-118983,Confirmed,2016-11-22 03:00:00,OrderManager
US-2016-118983,Processing,2016-11-22 18:00:00,WarehouseStaff
US-2016-118983,Shipped,2016-11-26 00:00:00,ShippingDept
US-2016-118983,Delivered,2016-12-03 00:00:00,DeliveryService
CA-2015-105893,Pending,2015-11-11 00:00:00,System
CA-2015-105893,Confirmed,2015-11-11 01:00:00,OrderManager
CA-2015-105893,Processing,2015-11-12 00:00:00,WarehouseStaff
CA-2015-105893,Shipped,2015-11-18 00:00:00,ShippingDept
CA-2015-105893,Delivered,2015-11-21 00:00:00,DeliveryService
CA-2015-167164,Pending,2015-05-13 00:00:00,System
CA-2015-167164,Confirmed,2015-05-13 12:00:00,OrderManager
CA-2015-167164,Processing,2015-05-14 09:00:00,WarehouseStaff
CA-2015-167164,Shipped,2015-05-15 00:00:00,ShippingDept
CA-2015-167164,Delivered,2015-05-20 00:00:00,DeliveryService
CA-2015-143336,Pending,2015-08-27 00:00:00,System
CA-2015-143336,Confirmed,2015-08-27 10:00:00,OrderManager
CA-2015-143336,Processing,2015-08-27 22:00:00,WarehouseStaff
CA-2015-143336,Shipped,2015-09-01 00:00:00,ShippingDept
CA-2015-143336,Delivered,2015-09-04 00:00:00,DeliveryService
CA-2017-137330,Pending,2017-12-09 00:00:00,System
CA-2017-137330,Confirmed,2017-12-09 06:00:00,OrderManager
CA-2017-137330,Processing,2017-12-09 19:00:00,WarehouseStaff
CA-2017-137330,Shipped,2017-12-13 00:00:00,ShippingDept
CA-2017-137330,Delivered,2017-12-19 00:00:00,DeliveryService
US-2018-156909,Pending,2018-07-16 00:00:00,System
US-2018-156909,Confirmed,2018-07-16 01:00:00,OrderManager
US-2018-156909,Processing,2018-07-16 14:00:00,WarehouseStaff
US-2018-156909,Shipped,2018-07-18 00:00:00,ShippingDept
US-2018-156909,Delivered,2018-07-24 00:00:00,DeliveryService
CA-2016-106320,Pending,2016-09-25 00:00:00,System
CA-2016-106320,Confirmed,2016-09-25 12:00:00,OrderManager
CA-2016-106320,Processing,2016-09-25 20:00:00,WarehouseStaff
CA-2016-106320,Shipped,2016-09-30 00:00:00,ShippingDept
CA-2016-106320,Delivered,2016-10-07 00:00:00,DeliveryService
CA-2017-121755,Pending,2017-01-16 00:00:00,System
CA-2017-121755,Confirmed,2017-01-16 07:00:00,OrderManager
CA-2017-121755,Processing,2017-01-17 03:00:00,WarehouseStaff
CA-2017-121755,Shipped,2017-01-20 00:00:00,ShippingDept
CA-2017-121755,Delivered,2017-01-22 00:00:00,DeliveryService
US-2016-150630,Pending,2016-09-17 00:00:00,System
US-2016-150630,Confirmed,2016-09-17 11:00:00,OrderManager
US-2016-150630,Processing,2016-09-17 22:00:00,WarehouseStaff
US-2016-150630,Shipped,2016-09-21 00:00:00,ShippingDept
US-2016-150630,Delivered,2016-09-23 00:00:00,DeliveryService
CA-2018-107727,Pending,2018-10-19 00:00:00,System
CA-2018-107727,Confirmed,2018-10-19 03:00:00,OrderManager
CA-2018-107727,Processing,2018-10-20 03:00:00,WarehouseStaff
CA-2018-107727,Shipped,2018-10-23 00:00:00,ShippingDept
CA-2018-107727,Delivered,2018-10-30 00:00:00,DeliveryService
CA-2017-117590,Pending,2017-12-08 00:00:00,System
CA-2017-117590,Confirmed,2017-12-08 01:00:00,OrderManager
CA-2017-117590,Processing,2017-12-08 22:00:00,WarehouseStaff
CA-2017-117590,Shipped,2017-12-10 00:00:00,ShippingDept
CA-2017-117590,Delivered,2017-12-17 00:00:00,DeliveryService
CA-2016-117415,Pending,2016-12-27 00:00:00,System
CA-2016-117415,Confirmed,2016-12-27 12:00:00,OrderManager
CA-2016-117415,Processing,2016-12-28 01:00:00,WarehouseStaff
CA-2016-117415,Shipped,2016-12-31 00:00:00,ShippingDept
CA-2016-117415,Delivered,2017-01-03 00:00:00,DeliveryService
CA-2018-120999,Pending,2018-09-10 00:00:00,System
CA-2018-120999,Confirmed,2018-09-10 06:00:00,OrderManager
CA-2018-120999,Processing,2018-09-11 02:00:00,WarehouseStaff
CA-2018-120999,Shipped,2018-09-15 00:00:00,ShippingDept
CA-2018-120999,Delivered,2018-09-17 00:00:00,DeliveryService
CA-2017-101343,Pending,2017-07-17 00:00:00,System
CA-2017-101343,Confirmed,2017-07-17 11:00:00,OrderManager
CA-2017-101343,Processing,2017-07-18 08:00:00,WarehouseStaff
CA-2017-101343,Shipped,2017-07-22 00:00:00,ShippingDept
CA-2017-101343,Delivered,2017-07-27 00:00:00,DeliveryService
CA-2018-139619,Pending,2018-09-19 00:00:00,System
CA-2018-139619,Confirmed,2018-09-19 07:00:00,OrderManager
CA-2018-139619,Processing,2018-09-19 19:00:00,WarehouseStaff
CA-2018-139619,Shipped,2018-09-23 00:00:00,ShippingDept
CA-2018-139619,Delivered,2018-09-26 00:00:00,DeliveryService
CA-2017-118255,Pending,2017-03-11 00:00:00,System
CA-2017-118255,Confirmed,2017-03-11 02:00:00,OrderManager
CA-2017-118255,Processing,2017-03-11 20:00:00,WarehouseStaff
CA-2017-118255,Shipped,2017-03-13 00:00:00,ShippingDept
CA-2017-118255,Delivered,2017-03-16 00:00:00,DeliveryService
CA-2015-146703,Pending,2015-10-20 00:00:00,System
CA-2015-146703,Confirmed,2015-10-20 12:00:00,OrderManager
CA-2015-146703,Processing,2015-10-20 18:00:00,WarehouseStaff
CA-2015-146703,Shipped,2015-10-25 00:00:00,ShippingDept
CA-2015-146703,Delivered,2015-10-27 00:00:00,DeliveryService
CA-2017-169194,Pending,2017-06-20 00:00:00,System
CA-2017-169194,Confirmed,2017-06-20 06:00:00,OrderManager
CA-2017-169194,Processing,2017-06-21 02:00:00,WarehouseStaff
CA-2017-169194,Shipped,2017-06-25 00:00:00,ShippingDept
CA-2017-169194,Delivered,2017-06-30 00:00:00,DeliveryService
CA-2016-115742,Pending,2016-04-18 00:00:00,System
CA-2016-115742,Confirmed,2016-04-18 06:00:00,OrderManager
CA-2016-115742,Processing,2016-04-19 06:00:00,WarehouseStaff
CA-2016-115742,Shipped,2016-04-22 00:00:00,ShippingDept
CA-2016-115742,Delivered,2016-04-24 00:00:00,DeliveryService
CA-2017-105816,Pending,2017-12-11 00:00:00,System
CA-2017-105816,Confirmed,2017-12-11 10:00:00,OrderManager
CA-2017-105816,Processing,2017-12-12 00:00:00,WarehouseStaff
CA-2017-105816,Shipped,2017-12-17 00:00:00,ShippingDept
CA-2017-105816,Delivered,2017-12-22 00:00:00,DeliveryService
CA-2017-111682,Pending,2017-06-17 00:00:00,System
CA-2017-111682,Confirmed,2017-06-17 05:00:00,OrderManager
CA-2017-111682,Processing,2017-06-17 11:00:00,WarehouseStaff
CA-2017-111682,Shipped,2017-06-18 00:00:00,ShippingDept
CA-2017-111682,Delivered,2017-06-21 00:00:00,DeliveryService
CA-2016-135545,Pending,2016-11-24 00:00:00,System
CA-2016-135545,Confirmed,2016-11-24 07:00:00,OrderManager
CA-2016-135545,Processing,2016-11-24 15:00:00,WarehouseStaff
