Product_ID,Product_Name,Category,Sub_Category,Unit_Cost,Stock_Quantity,Supplier_ID,Unit_Price,Total_Units_Sold,Margin_Percentage
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,70.46,56,SUP-029,93.32249999999999,15,24.5
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,102.44,170,SUP-016,184.40166666666667,74,44.45
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,2.56,140,SUP-041,3.0742857142857143,48,16.73
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,83.96,143,SUP-018,125.7525,62,33.23
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,8.46,82,SUP-012,12.617999999999999,27,32.95
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,3.84,68,SUP-012,8.342,31,53.97
OFF-AR-10002833,Newell 322,Office Supplies,Art,0.7,101,SUP-044,2.48,31,71.77
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,Phones,49.12,121,SUP-003,64.8875,34,24.3
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,2.64,156,SUP-022,3.586,58,26.38
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,7.51,126,SUP-047,13.677142857142858,44,45.09
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,81.63,131,SUP-010,184.3122222222222,46,55.71
TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Technology,Phones,81.8,75,SUP-025,318.365,22,74.31
OFF-PA-10002365,Xerox 1967,Office Supplies,Paper,2.77,79,SUP-028,5.720000000000001,21,51.57
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,46.55,107,SUP-014,125.11625000000001,46,62.79
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,18.33,128,SUP-011,28.762999999999998,55,36.27
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,1.62,143,SUP-011,2.2425,42,27.76
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,67.05,85,SUP-041,116.53,29,42.46
OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,Storage,10.98,77,SUP-014,13.7,34,19.85
OFF-AR-10003056,Newell 341,Office Supplies,Art,1.61,108,SUP-004,3.3957142857142855,41,52.59
TEC-PH-10001949,Cisco SPA 501G IP Phone,Technology,Phones,23.01,47,SUP-027,26.68,8,13.76
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,3.35,113,SUP-045,6.207142857142857,30,46.03
OFF-AR-10000246,Newell 318,Office Supplies,Art,2.27,53,SUP-038,5.4959999999999996,19,58.7
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,8.56,91,SUP-006,14.025,25,38.97
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,13.92,148,SUP-050,29.164285714285715,39,52.27
OFF-BI-10001634,Wilson Jones Active Use Binders,Office Supplies,Binders,2.22,141,SUP-050,3.5733333333333337,41,37.87
TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,28.44,64,SUP-006,89.89666666666666,11,68.36
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,450.39,114,SUP-034,780.1,27,42.27
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders,4.15,74,SUP-033,9.064285714285715,33,54.22
FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,15.43,198,SUP-022,32.07333333333333,68,51.89
FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings,15.43,149,SUP-031,32.07333333333333,68,51.89
OFF-EN-10001509,Poly String Tie Envelopes,Office Supplies,Envelopes,0.7,207,SUP-026,1.7772727272727273,65,60.61
OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,9.64,114,SUP-030,27.86833333333333,37,65.41
OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders,0.86,191,SUP-008,1.795,54,52.09
OFF-AR-10001683,Lumber Crayons,Office Supplies,Art,3.39,116,SUP-024,5.536666666666666,36,38.77
OFF-PA-10000249,Easy-staple paper,Office Supplies,Paper,4.3,119,SUP-032,10.376666666666667,35,58.56
TEC-PH-10004977,GE 30524EE4,Technology,Phones,121.46,132,SUP-014,236.78555555555556,37,48.7
FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings,97.86,70,SUP-019,333.47400000000005,23,70.65
OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes,19.07,39,SUP-005,24.659999999999997,7,22.67
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,168.69,76,SUP-031,286.1,34,41.04
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs,51.72,166,SUP-042,85.53875,43,39.54
TEC-PH-10000486,Plantronics HL10 Handset Lifter,Technology,Phones,114.54,35,SUP-041,192.45666666666668,15,40.49
TEC-PH-10004093,Panasonic Kx-TS550,Technology,Phones,18.64,128,SUP-041,25.707142857142856,38,27.49
OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,15.45,134,SUP-025,29.237142857142857,38,47.16
OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage,29.78,106,SUP-048,54.4675,25,45.33
TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories,6.16,118,SUP-022,14.038,32,56.12
OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders,2.58,185,SUP-045,4.69,68,44.99
OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage,15.97,146,SUP-034,30.265,43,47.23
TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,Accessories,8.16,130,SUP-022,12.20875,39,33.16
TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones,4.63,136,SUP-022,8.3025,44,44.23
OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Binders,2.35,96,SUP-048,3.6825,23,36.18
OFF-LA-10002762,Avery 485,Office Supplies,Labels,10.49,147,SUP-015,24.012500000000003,46,56.31
FUR-FU-10001706,Longer-Life Soft White Bulbs,Furniture,Furnishings,1.76,87,SUP-049,2.522222222222222,45,30.22
FUR-CH-10003061,"Global Leather Task Chair, Black",Furniture,Chairs,33.19,121,SUP-047,71.43125,35,53.54
OFF-FA-10000304,Advantus Push Pins,Office Supplies,Fasteners,1.09,70,SUP-045,2.7685714285714282,33,60.63
TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,Technology,Phones,133.56,46,SUP-032,226.58749999999998,11,41.06
OFF-ST-10000604,Home/Office Personal File Carts,Office Supplies,Storage,14.76,102,SUP-041,24.662857142857142,45,40.15
OFF-PA-10001569,Xerox 232,Office Supplies,Paper,3.62,82,SUP-015,4.56,24,20.61
FUR-CH-10003968,Novimex Turbo Task Chair,Furniture,Chairs,23.76,127,SUP-018,36.63333333333333,44,35.14
OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",Office Supplies,Paper,2.67,53,SUP-022,4.366666666666667,16,38.85
OFF-BI-10001460,Plastic Binding Combs,Office Supplies,Binders,6.42,99,SUP-040,14.563999999999998,29,55.92
OFF-AR-10001868,Prang Dustless Chalk Sticks,Office Supplies,Art,0.79,90,SUP-033,2.0250000000000004,34,60.99
TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories,7.49,79,SUP-047,16.76,20,55.31
OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders,4.14,65,SUP-044,7.901428571428572,30,47.6
OFF-PA-10003892,Xerox 1943,Office Supplies,Paper,17.2,112,SUP-016,26.195,31,34.34
FUR-FU-10000397,Luxo Economy Swing Arm Lamp,Furniture,Furnishings,8.89,104,SUP-019,13.23,29,32.8
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,19.74,201,SUP-047,36.082857142857144,88,45.29
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs,19.74,222,SUP-033,36.082857142857144,88,45.29
OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art,174.42,50,SUP-036,278.26,4,37.32
TEC-PH-10002726,netTALK DUO VoIP Telephone Service,Technology,Phones,27.5,111,SUP-046,51.80571428571428,33,46.92
OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper,31.57,65,SUP-045,54.550000000000004,23,42.13
OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders,2.47,182,SUP-017,4.63,62,46.65
OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders,2.47,154,SUP-044,4.63,62,46.65
OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper,1.67,122,SUP-044,3.2183333333333333,44,48.11
FUR-CH-10000513,High-Back Leather Manager's Chair,Furniture,Chairs,73.59,157,SUP-037,155.07444444444445,47,52.55
FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings,23.17,158,SUP-023,40.915,40,43.37
OFF-ST-10004123,Safco Industrial Wire Shelving System,Office Supplies,Storage,47.42,103,SUP-039,73.505,36,35.49
OFF-BI-10004182,Economy Binders,Office Supplies,Binders,1.28,81,SUP-041,1.6366666666666667,15,21.79
FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",Furniture,Furnishings,9.53,41,SUP-032,24.45,8,61.02
OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage,7.23,113,SUP-025,14.893749999999999,32,51.46
