Product_ID,Product_Name,Category,Sub_Category,Stock_Quantity,Reorder_Level,Reorder_Quantity,Unit_Cost,Warehouse_Location,Last_Restock_Date,Supplier_ID
FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases,56,14,33,70.46,WH-A17,2025-12-21,SUP-029
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs,170,42,102,102.44,WH-B19,2025-12-27,SUP-016
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels,140,35,84,2.56,WH-D20,2025-11-28,SUP-041
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,143,35,85,83.96,WH-B13,2025-11-26,SUP-018
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,82,20,49,8.46,WH-D03,2025-11-18,SUP-012
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings,68,17,40,3.84,WH-B17,2026-01-19,SUP-012
OFF-AR-10002833,Newell 322,Office Supplies,Art,101,25,60,0.7,WH-D03,2025-11-25,SUP-044
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,Phones,121,30,72,49.12,WH-C15,2026-01-23,SUP-003
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders,156,39,93,2.64,WH-A01,2025-12-23,SUP-022
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,126,31,75,7.51,WH-A14,2025-11-15,SUP-047
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables,131,32,78,81.63,WH-D18,2025-12-23,SUP-010
TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Technology,Phones,75,18,45,81.8,WH-D14,2025-11-30,SUP-025
OFF-PA-10002365,Xerox 1967,Office Supplies,Paper,79,19,47,2.77,WH-D13,2026-01-19,SUP-028
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders,107,26,64,46.55,WH-D11,2026-01-26,SUP-014
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,128,32,76,18.33,WH-C16,2025-11-30,SUP-011
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders,143,35,85,1.62,WH-A13,2025-12-12,SUP-011
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage,85,21,51,67.05,WH-A18,2025-11-26,SUP-041
OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,Storage,77,19,46,10.98,WH-A03,2026-01-11,SUP-014
OFF-AR-10003056,Newell 341,Office Supplies,Art,108,27,64,1.61,WH-D13,2026-01-31,SUP-004
TEC-PH-10001949,Cisco SPA 501G IP Phone,Technology,Phones,47,11,28,23.01,WH-D01,2026-01-24,SUP-027
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders,113,28,67,3.35,WH-A07,2026-02-07,SUP-045
OFF-AR-10000246,Newell 318,Office Supplies,Art,53,13,31,2.27,WH-C01,2026-01-01,SUP-038
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances,91,22,54,8.56,WH-B04,2026-01-06,SUP-006
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,148,37,88,13.92,WH-D13,2025-11-19,SUP-050
OFF-BI-10001634,Wilson Jones Active Use Binders,Office Supplies,Binders,141,35,84,2.22,WH-B04,2025-12-18,SUP-050
TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories,64,16,38,28.44,WH-C07,2025-12-07,SUP-006
