run_id,started_at,ended_at,status,extract_rows,loaded_dim_rows,loaded_fact_rows,error_message
run_20260218_080404,2026-02-18T08:04:04.066899,2026-02-18T08:04:05.441533,FAILED,,,,"Step extract failed: Traceback (most recent call last):
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 236, in <module>
    main()
    ~~~~^^
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 106, in main
    token = api_login()
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 48, in api_login
    raise RuntimeError(""ETL_API_USERNAME and ETL_API_PASSWORD are required for API extraction"")
RuntimeError: ETL_API_USERNAME and ETL_API_PASSWORD are required for API extraction"
run_20260218_080743,2026-02-18T08:07:43.402203,2026-02-18T08:07:43.792743,FAILED,,,,"Step extract failed: Traceback (most recent call last):
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 236, in <module>
    main()
    ~~~~^^
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 106, in main
    token = api_login()
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 48, in api_login
    raise RuntimeError(""ETL_API_USERNAME and ETL_API_PASSWORD are required for API extraction"")
RuntimeError: ETL_API_USERNAME and ETL_API_PASSWORD are required for API extraction"
run_20260218_081512,2026-02-18T08:15:12.017135,2026-02-18T08:15:12.443972,FAILED,,,,"Step extract failed: Traceback (most recent call last):
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 236, in <module>
    main()
    ~~~~^^
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 106, in main
    token = api_login()
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 48, in api_login
    raise RuntimeError(""ETL_API_USERNAME and ETL_API_PASSWORD are required for API extraction"")
RuntimeError: ETL_API_USERNAME and ETL_API_PASSWORD are required for API extraction"
manual,2026-02-18T08:24:31.714467,2026-02-18T08:26:03.709815,FAILED,,,,"Step extract failed: Traceback (most recent call last):
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 236, in <module>
    main()
    ~~~~^^
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 143, in main
    truncate_raw_tables(cur)
    ~~~~~~~~~~~~~~~~~~~^^^^^
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 75, in truncate_raw_tables
    cur.execute(
    ~~~~~~~~~~~^
        """"""
        ^^^
    ...<7 lines>...
        """"""
        ^^^
    )
    ^
psycopg2.errors.InvalidSchemaName: ERREUR:  le schéma « staging_raw » n'existe pas"
manual,2026-02-18T08:27:55.038487,2026-02-18T08:29:27.375932,FAILED,,,,"Step extract failed: Traceback (most recent call last):
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 236, in <module>
    main()
    ~~~~^^
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 143, in main
    truncate_raw_tables(cur)
    ~~~~~~~~~~~~~~~~~~~^^^^^
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 75, in truncate_raw_tables
    cur.execute(
    ~~~~~~~~~~~^
        """"""
        ^^^
    ...<7 lines>...
        """"""
        ^^^
    )
    ^
psycopg2.errors.InvalidSchemaName: ERREUR:  le schéma « staging_raw » n'existe pas"
manual,2026-02-18T08:32:15.205131,2026-02-18T08:33:51.469080,FAILED,,,,"Step extract failed: Traceback (most recent call last):
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 236, in <module>
    main()
    ~~~~^^
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 143, in main
    truncate_raw_tables(cur)
    ~~~~~~~~~~~~~~~~~~~^^^^^
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 75, in truncate_raw_tables
    cur.execute(
    ~~~~~~~~~~~^
        """"""
        ^^^
    ...<7 lines>...
        """"""
        ^^^
    )
    ^
psycopg2.errors.InvalidSchemaName: ERREUR:  le schéma « staging_raw » n'existe pas"
manual,2026-02-18T08:39:48.113615,2026-02-18T08:39:48.621386,FAILED,,,,"Step extract failed: Traceback (most recent call last):
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 9, in <module>
    from dotenv import load_dotenv
ModuleNotFoundError: No module named 'dotenv'"
manual,2026-02-18T08:45:15.036336,2026-02-18T08:46:42.940490,FAILED,,,,"Step extract failed: Traceback (most recent call last):
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 238, in <module>
    main()
    ~~~~^^
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 144, in main
    truncate_raw_tables(cur)
    ~~~~~~~~~~~~~~~~~~~^^^^^
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\extract\extract_oltp.py"", line 76, in truncate_raw_tables
    cur.execute(
    ~~~~~~~~~~~^
        """"""
        ^^^
    ...<7 lines>...
        """"""
        ^^^
    )
    ^
psycopg2.errors.InvalidSchemaName: ERREUR:  le schéma « staging_raw » n'existe pas"
manual,2026-02-18T08:47:56.295112,2026-02-18T08:49:58.493012,FAILED,,,,"Step load_facts failed: Traceback (most recent call last):
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\load\load_facts.py"", line 142, in <module>
    main()
    ~~~~^^
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\load\load_facts.py"", line 79, in main
    cur.execute(
    ~~~~~~~~~~~^
        """"""
        ^^^
    ...<24 lines>...
        (run_id,),
        ^^^^^^^^^^
    )
    ^
psycopg2.errors.ForeignKeyViolation: ERREUR:  une instruction insert ou update sur la table « fact_order_status_transition » viole la contrainte de clé
étrangère « fact_order_status_transition_status_date_key_fkey »
DETAIL:  La clé (status_date_key)=(20190108) n'est pas présente dans la table « dim_date »."
manual,2026-02-18T08:50:41.130969,2026-02-18T08:52:38.916511,FAILED,,,,"Step load_facts failed: Traceback (most recent call last):
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\load\load_facts.py"", line 144, in <module>
    main()
    ~~~~^^
  File ""D:\Hasinjaka\fianarana\INSI\S7\BI_et_Data_analytics\projet_M1\projet-erp-distribution\olap\etl\load\load_facts.py"", line 80, in main
    cur.execute(
    ~~~~~~~~~~~^
        """"""
        ^^^
    ...<24 lines>...
        (run_id,),
        ^^^^^^^^^^
    )
    ^
psycopg2.errors.ForeignKeyViolation: ERREUR:  une instruction insert ou update sur la table « fact_order_status_transition » viole la contrainte de clé
étrangère « fact_order_status_transition_status_date_key_fkey »
DETAIL:  La clé (status_date_key)=(20190108) n'est pas présente dans la table « dim_date »."
